article_id,source,title,url,extracted_at_utc,query,media_cloud_story_count,media_cloud_matched_story_count,media_cloud_unique_hosts,media_cloud_story_ids,status
07b8f60f-bff1-4520-a2a9-3e36c50fe588,Southeast Missourian,"As Texans chase division title, Chiefs simply trying to stay in playof...",https://www.semissourian.com/sports/as-texans-chase-division-title-chiefs-simply-trying-to-stay-in-playoff-hunt-d090b1e0,2025-12-05T01:57:50.383975+00:00,"""As Texans chase division title, Chiefs simply trying to stay in playof...""",0,0,,,ok
46ad5b1f-fd15-4537-81d2-3c2cd1d2b40d,Springfield News-Leader,Missouri State football to play Arkansas State in inaugural Xbox Bowl,https://www.news-leader.com/story/sports/college/msu/2025/12/04/missouri-state-football-to-play-arkansas-state-in-inaugural-xbox-bowl/87589555007,2025-12-05T09:44:00.273348+00:00,"""Missouri State football to play Arkansas State in inaugural Xbox Bowl""",0,0,,,ok
d465db8a-a5af-4c65-a63c-9ceaf277f51a,St. Louis Jewish Light,Meet the 'hidden hand' behind some of St. Louis’ one,https://stljewishlight.org/top-story/meet-the-hidden-hand-behind-some-of-st-louis-one-of-a-kind-torah-arks,2025-12-05T01:27:18.611077+00:00,"""Meet the 'hidden hand' behind some of St. Louis’ one""",0,0,,,ok
4a62db5a-be3c-4386-ab87-4e1912757323,St. Louis Post-Dispatch,"Effort, defense in question again as Blues fall to Bruins",https://www.stltoday.com/sports/professional/nhl/blues/article_312f0a52-a826-4657-95e2-ec85567767f5.html,2025-12-05T14:24:56.341065+00:00,"""Effort, defense in question again as Blues fall to Bruins""",0,0,,,ok
1afcb899-d273-46b0-bb06-2c2beeda7889,St. Louis Post-Dispatch,Thursday's Scores,https://www.stltoday.com/sports/college/illini/article_03f198f9-0a60-5c52-a735-8f8aab642c41.html,2025-12-05T08:07:12.038503+00:00,"""Thursday's Scores""",1,0,,,ok
cc143264-3e13-429f-acb7-1afc316a6f88,St. Louis Post-Dispatch,Winning numbers drawn in Thursday’s Illinois Pick 4 Midday,https://www.stltoday.com/news/state-and-regional/illinois/article_371028a8-a82e-5894-854b-66a1d7720ce0.html,2025-12-05T02:30:53.539374+00:00,"""Winning numbers drawn in Thursday’s Illinois Pick 4 Midday""",0,0,,,ok
375553e1-1ff2-4a0b-b78b-763f4a2913cd,St. Louis Post-Dispatch,Winning numbers drawn in Thursday’s Illinois Pick 3 Midday,https://www.stltoday.com/news/state-and-regional/illinois/article_96b9866e-7d4d-5ef5-b5b4-0ecdfe0230b2.html,2025-12-05T01:54:04.419685+00:00,"""Winning numbers drawn in Thursday’s Illinois Pick 3 Midday""",0,0,,,ok
be10965c-2751-4b05-917e-8a1c445cc1b3,The Edina Sentinel,FFA Barnwarming Royalty Crowned,https://www.edinasentinel.com/2025/12/04/ffa-barnwarming-royalty-crowned,2025-12-05T14:50:33.533503+00:00,"""FFA Barnwarming Royalty Crowned""",0,0,,,ok
1674e6b3-31d3-489a-b4b5-4e3c61ee17ce,The Examiner / Examiner Weekend,Independence police continue to investigate killing of 18,https://www.examiner.net/independence-police-continue-to-investigate-killing-of-18-year-old-woman,2025-12-05T02:36:45.993525+00:00,"""Independence police continue to investigate killing of 18""",3,0,,,ok
34d07caf-b22d-48e5-9545-23b2a13307bb,The Fulton Sun,Tanglewood serves golfers statewide,https://www.fultonsun.com/news/2025/dec/05/tanglewood-serves-golfers-statewide,2025-12-05T13:48:55.172526+00:00,"""Tanglewood serves golfers statewide""",0,0,,,ok
36f646f2-770c-40b2-935b-d10d2b94ca87,The Fulton Sun,Missouri appeals court rewrites ballot proposal to clarify a ‘yes’ would end right to abortion,https://www.fultonsun.com/news/2025/dec/05/missouri-appeals-court-rewrites-ballot-proposal,2025-12-05T13:47:38.505479+00:00,"""Missouri appeals court rewrites ballot proposal to clarify a ‘yes’ would end right to abortion""",0,0,,,ok
